dt,x,y,position,velocity,acceleration,jerk,heading
2.000000,0.887121,1.772797,1.000000,1.000000,0.500000,0.250000,0.052848
2.000000,2.633906,1.978412,2.758845,0.879422,-0.060289,-0.280144,0.189867
2.000000,4.236542,2.436579,4.425686,0.833421,-0.023001,0.018644,0.378828
2.000000,5.609640,3.181422,5.987797,0.781055,-0.026183,-0.001591,0.626750
2.000000,6.694168,4.225126,7.492961,0.752582,-0.014237,0.005973,0.906669
2.000000,7.479355,5.561197,9.042672,0.774855,0.011137,0.012687,1.161562
2.000000,7.975051,7.137623,10.695196,0.826262,0.025703,0.007283,1.358592
2.000000,8.212362,8.869370,12.443126,0.873965,0.023852,-0.000926,1.501781
2.000000,8.249635,9.885012,13.459453,0.508163,-0.182901,-0.103376,1.564430
2.000000,8.250000,10.000000,13.574441,0.057494,-0.225335,-0.021217,1.570796
2.000000,8.250000,10.000000,13.574441,0.000000,-0.028747,0.098294,1.570796
