dt,x,y,position,velocity,acceleration,jerk,heading
2.000000,0.979563,0.025241,1.000000,1.000000,0.500000,0.250000,0.052848
2.000000,2.964181,0.259861,3.000000,1.000000,0.000000,-0.250000,0.189867
2.000000,4.883748,0.810656,5.000000,1.000000,0.000000,0.000000,0.378828
2.000000,6.636042,1.764031,7.000000,1.000000,0.000000,0.000000,0.626750
2.000000,8.072214,3.146475,9.000000,1.000000,0.000000,0.000000,0.906669
2.000000,9.084849,4.864859,11.000000,1.000000,0.000000,0.000000,1.161562
2.000000,9.685797,6.769047,13.000000,1.000000,0.000000,0.000000,1.358592
2.000000,9.958196,8.748689,15.000000,1.000000,0.000000,0.000000,1.501781
2.000000,9.999600,9.873871,16.126128,0.126128,-0.436936,-0.218468,1.564430
2.000000,10.000000,10.000000,16.252256,0.000000,-0.063064,0.186936,1.570796
2.000000,10.000000,10.000000,16.252256,0.000000,0.000000,0.031532,1.570796
