dt,x,y,position,velocity,acceleration,jerk,heading
2.000000,1.072004,-1.722316,1.000000,1.000000,0.500000,0.250000,0.052848
2.000000,3.294456,-1.458690,3.238033,1.119016,0.059508,-0.220246,0.189867
2.000000,5.530953,-0.815267,5.565244,1.163606,0.022295,-0.018607,0.378828
2.000000,7.662445,0.346639,7.992852,1.213804,0.025099,0.001402,0.626750
2.000000,9.450261,2.067823,10.474538,1.240843,0.013519,-0.005790,0.906669
2.000000,10.690344,4.168521,12.913951,1.219707,-0.010568,-0.012044,1.161562
2.000000,11.396543,6.400471,15.254959,1.170504,-0.024601,-0.007017,1.358592
2.000000,11.704030,8.628008,17.503618,1.124329,-0.023087,0.000757,1.501781
2.000000,11.749564,9.862729,18.739179,0.617780,-0.253274,-0.115094,1.564430
2.000000,11.750000,10.000000,18.876450,0.068636,-0.274572,-0.010649,1.570796
2.000000,11.750000,10.000000,18.876450,0.000000,-0.034318,0.120127,1.570796
