dt,x,y,position,velocity,acceleration,jerk,heading
5.000000,11.259529,18.302413,12.500000,5.000000,1.000000,0.200000,0.055278
5.000000,33.465722,21.050060,34.875535,4.475107,-0.104979,-0.220996,0.200000
5.000000,53.874303,27.244236,56.203404,4.265574,-0.041907,0.012614,0.401993
5.000000,71.292801,37.421581,76.377209,4.034761,-0.046163,-0.000851,0.666814
5.000000,84.823126,51.724111,96.065583,3.937675,-0.019417,0.005349,0.957988
5.000000,94.222586,69.796979,116.436603,4.074204,0.027306,0.009345,1.212090
5.000000,99.713538,90.633471,137.984455,4.309570,0.047073,0.003954,1.402077
5.000000,101.799853,110.790117,158.248785,4.052866,-0.051341,-0.019683,1.526311
5.000000,102.000000,120.000000,167.460843,1.842412,-0.442091,-0.078150,1.570796
5.000000,102.000000,120.000000,167.460843,0.000000,-0.368482,0.014722,1.570796
