dt,x,y,position,velocity,acceleration,jerk,heading
5.000000,13.248525,-17.642599,12.500000,5.000000,1.000000,0.200000,0.055278
5.000000,40.617812,-14.232338,40.080932,5.516186,0.103237,-0.179353,0.200000
5.000000,67.959415,-5.885956,68.668084,5.717431,0.040249,-0.012598,0.401993
5.000000,93.558273,9.132913,98.347504,5.935884,0.043691,0.000688,0.666814
5.000000,114.272417,31.018091,128.481153,6.026730,0.018169,-0.005104,0.957988
5.000000,127.931248,57.158701,157.975139,5.898797,-0.025587,-0.008751,1.212090
5.000000,135.202361,84.588355,186.352154,5.675403,-0.044679,-0.003818,1.402077
5.000000,137.764237,109.189158,211.085991,4.946767,-0.145727,-0.020210,1.526311
5.000000,138.000000,120.000000,221.899404,2.162683,-0.556817,-0.082218,1.570796
5.000000,138.000000,120.000000,221.899404,0.000000,-0.432537,0.024856,1.570796
